Subject,Course Number,Section,CRN,Course Title,Credit Hours,Instructor,Campus,Attribute Type,Reserved Seats,Linked Sections,Unnamed: 11,Days,Start Time,End Time,Building,Room,Start Date,End Date,Total Enrolled,Open Enrolled,Total Waitlist,Open Waitlist
ARTA,3000,090,13967,"Topics in Art: Let's Play!
Lecture",3.0,Malena Bergmann (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",05:30  PM,08:15  PM,Online (No Building Needed),INTERNET,08/19/2024,12/12/2024,18,7,2.0,2.0
ARTA,3201,001,10750,"B.F.A. Portfolio Review
Lecture",1.0,Aspen Hochhalter (Primary),Main Campus or Dubois Campus,,,,,Friday,10:10  AM,11:15  AM,Online (No Building Needed),INTERNET,08/19/2024,12/12/2024,40,22,4.0,4.0
ARTA,3400,001,12108,"Internship in the Arts
Internship",3.0,Maja Godlewska (Primary),Main Campus or Dubois Campus,,,,,,,,,,08/19/2024,12/12/2024,5,0,,
ARTA,3800,001,13052,"Independent Study in Art
Independent Study",3.0,Chelsea Brtis (Primary),Main Campus or Dubois Campus,,,,,,,,,,08/19/2024,12/12/2024,0,0,,
ARTA,3800,002,13968,"Independent Study in Art
Independent Study",3.0,Samira Shiridevich (Primary),Main Campus or Dubois Campus,,,,,,,,,,08/19/2024,12/12/2024,0,0,,
ARTA,3800,003,13969,"Independent Study in Art
Independent Study",3.0,JB Burke (Primary),Main Campus or Dubois Campus,,,,,,,,,,08/19/2024,12/12/2024,0,0,,
ARTA,3800,004,13970,"Independent Study in Art
Independent Study",3.0,Anna Kenar (Primary),Main Campus or Dubois Campus,,,,,,,,,,08/19/2024,12/12/2024,0,0,,
ARTA,4600,001,10235,"Senior Seminar
Seminar",3.0,Andrew Leventis (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",12:20  PM,01:35  PM,Rowe,276,08/19/2024,12/12/2024,14,5,2.0,2.0
ARTA,4600,002,10763,"Senior Seminar
Seminar",3.0,Heather Freeman (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",12:20  PM,01:35  PM,Winningham,205,08/19/2024,12/12/2024,18,9,2.0,2.0
ARTA,4600,003,11272,"Senior Seminar
Seminar",3.0,Alexis Poolos (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",12:20  PM,01:35  PM,Macy,106B,08/19/2024,12/12/2024,18,0,2.0,2.0
ARTA,4901,001,12789,"Senior Thesis 1: Creative Research
Studio",3.0,Lydia Thompson (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday,Friday",10:10  AM,12:05  PM,Rowe,250,08/19/2024,12/12/2024,8,0,,
ARTA,4901,002,13976,"Senior Thesis 1: Creative Research
Studio",3.0,Heather Freeman (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday,Friday",10:10  AM,12:05  PM,Rowe,285,08/19/2024,12/12/2024,12,9,,
ARTA,4902,001,12790,"Senior Thesis 2: Advanced Creative Practice
Studio",3.0,Aspen Hochhalter (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday,Friday",10:10  AM,12:05  PM,Rowe,250,08/19/2024,12/12/2024,7,1,,
ARTA,4902,002,13977,"Senior Thesis 2: Advanced Creative Practice
Studio",3.0,Heather Freeman (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday,Friday",10:10  AM,12:05  PM,Rowe,285,08/19/2024,12/12/2024,12,4,,
ARTE,2100,001,10091,"Artists as Teachers
Lecture",3.0,Deborah Ferguson (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",02:30  PM,03:45  PM,Winningham,214,08/19/2024,12/12/2024,16,8,2.0,2.0
ARTE,2121,001,11919,"Integrating Art Across the Curriculum
Studio",3.0,Deborah Ferguson (Primary),Main Campus or Dubois Campus,,,,,,,,,,08/19/2024,12/12/2024,16,1,2.0,2.0
ARTE,2121,002,13230,"Integrating Art Across the Curriculum
Studio",3.0,Deborah Ferguson (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",11:30  AM,01:20  PM,Winningham,214,08/19/2024,12/12/2024,16,0,2.0,2.0
ARTE,3121,001,11286,"Elementary Art Methods
Lecture",3.0,Jane Dalton (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",09:05  AM,11:25  AM,Winningham,214,08/19/2024,12/12/2024,12,2,1.0,1.0
ARTE,3124,001,11441,"Transcultural Identities in Art Education
Lecture/Lab",3.0,David Gall (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,Winningham,214,08/19/2024,12/12/2024,12,2,1.0,1.0
ARTE,4466,001,13421,"Art Education Year Long Internship (Semester 1)
Internship",1.0,Jane Dalton (Primary),Main Campus or Dubois Campus,,,,,,,,,,08/19/2024,12/12/2024,5,1,,
ARTE,4467,090,10092,"Student Teaching in Art
Student Teaching",12.0,"Deborah Ferguson
Laura Brosi
David Gall (Primary)
Jane Dalton",Main Campus or Dubois Campus,,,,,Monday,05:30  PM,07:00  PM,Online (No Building Needed),INTERNET,08/19/2024,12/12/2024,4,1,,
ARTE,5121,080,12739,"Teaching Art to Elementary Students
Lecture/Lab",3.0,David Gall (Primary),Distance Education,,,,,Wednesday,05:30  PM,08:15  PM,Online (No Building Needed),INTERNET,08/19/2024,12/12/2024,12,0,,
ARTH,1211,001,10156,"Art History Survey I
Lecture",3.0,Bonnie Noble (Primary),Main Campus or Dubois Campus,,"1 of 25 unreserved seats remain.
3 of 3 unreserved waitlist seats remain.
20 of 50 reserved seats remain.",,,"Monday,Wednesday,Friday",10:10  AM,11:00  AM,Denny,220,08/19/2024,12/12/2024,75,21,3.0,3.0
ARTH,1212,001,10157,"Art History Survey II
Lecture",3.0,Jeremy George (Primary),Main Campus or Dubois Campus,,"0 of 25 unreserved seats remain.
3 of 3 unreserved waitlist seats remain.
1 of 50 reserved seats remain.",,,"Tuesday,Thursday",01:00  PM,02:15  PM,Online (No Building Needed),INTERNET,08/19/2024,12/12/2024,75,1,3.0,3.0
ARTH,2110,001,11423,"Contemporary Art History
Lecture",3.0,Mallory Nanny (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday,Friday",09:05  AM,09:55  AM,Denny,220,08/19/2024,12/12/2024,70,4,5.0,5.0
ARTH,3001,001,11920,"Topics in Art History: Ancient Gender & Sexuality
Lecture",3.0,Jim Frakes (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",01:00  PM,02:15  PM,Rowe,290,08/19/2024,12/12/2024,24,1,2.0,2.0
ARTH,3001,003,14552,"Topics in Art History: Collecting African Art
Lecture",3.0,Lisa Homann (Primary),Main Campus or Dubois Campus,,,,,Wednesday,02:30  PM,05:15  PM,Rowe,290,08/19/2024,12/12/2024,22,4,1.0,1.0
ARTH,3114,001,10122,"Art History Methods
Lecture",3.0,Jae Emerling (Primary),Main Campus or Dubois Campus,,,,,Thursday,08:30  AM,11:00  AM,Denny,102,08/19/2024,12/12/2024,15,1,1.0,1.0
ARTH,3115,H01,16641,"Honors Art History Methods
Lecture",3.0,Jae Emerling (Primary),Main Campus or Dubois Campus,,,,,,,,,,08/19/2024,12/12/2024,0,0,,
ARTH,3322,001,16642,"Ancient Greek Art
Lecture",3.0,Jim Frakes (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,Rowe,290,08/19/2024,12/12/2024,24,0,1.0,1.0
ARTH,3328,001,13912,"West African Art History
Lecture",3.0,Lisa Homann (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",11:30  AM,12:45  PM,Rowe,290,08/19/2024,12/12/2024,21,7,2.0,2.0
ARTH,3360,001,16643,"Northern Baroque Art
Lecture",3.0,Bonnie Noble (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",12:20  PM,01:35  PM,Rowe,290,08/19/2024,12/12/2024,24,1,1.0,1.0
ARTH,3395,001,13913,"African American Art History
Lecture",3.0,Lisa Homann (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",02:30  PM,03:45  PM,Rowe,290,08/19/2024,12/12/2024,22,9,2.0,2.0
ARTH,3810,001,13911,"Ind Study in Art History
Independent Study",3.0,Jae Emerling (Primary),Main Campus or Dubois Campus,,,,,,,,,,08/19/2024,12/12/2024,0,0,,
ARTB,1201,001,10249,"2D Design
Studio",3.0,Kristin Rothrock (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday,Friday",08:00  AM,09:55  AM,Winningham,207,08/19/2024,12/12/2024,15,1,2.0,2.0
ARTB,1201,002,12658,"2D Design
Studio",3.0,Kristin Rothrock (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday,Friday",10:10  AM,12:05  PM,Winningham,207,08/19/2024,12/12/2024,15,0,2.0,2.0
ARTB,1201,004,11809,"2D Design
Studio",3.0,Lorraine Turi (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",02:30  PM,05:15  PM,Winningham,207,08/19/2024,12/12/2024,15,3,2.0,2.0
ARTB,1201,005,13446,"2D Design
Studio",3.0,Payton Brown (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",02:30  PM,05:15  PM,Winningham,207,08/19/2024,12/12/2024,15,4,2.0,2.0
ARTB,1202,001,10250,"3D Design
Studio",3.0,Lorraine Turi (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",08:30  AM,11:15  AM,Rowe,107,08/19/2024,12/12/2024,16,10,2.0,2.0
ARTB,1202,002,10253,"3D Design
Studio",3.0,Emma Kaye (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",02:30  PM,05:15  PM,Rowe,107,08/19/2024,12/12/2024,16,4,2.0,2.0
ARTB,1203,001,10254,"Drawing 1
Studio",3.0,Anna Kenar (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday,Friday",10:10  AM,12:05  PM,Rowe,175,08/19/2024,12/12/2024,16,6,2.0,2.0
ARTB,1203,003,11072,"Drawing 1
Studio",3.0,Anna Kenar (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",02:30  PM,05:15  PM,Rowe,175,08/19/2024,12/12/2024,16,6,2.0,2.0
ARTB,1203,004,12659,"Drawing 1
Studio",3.0,Kristin Rothrock (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",02:30  PM,05:15  PM,Rowe,175,08/19/2024,12/12/2024,16,1,2.0,2.0
ARTB,1203,005,13459,"Drawing 1
Studio",3.0,Kristin Rothrock (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",08:30  AM,11:15  AM,Rowe,175,08/19/2024,12/12/2024,16,7,,
ARTB,1204,001,12661,"Digital Foundations
Studio",3.0,Lorraine Turi (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday,Friday",10:10  AM,12:05  PM,Macy,107,08/19/2024,12/12/2024,18,9,2.0,2.0
ARTB,1204,002,12662,"Digital Foundations
Studio",3.0,Chelsea Brtis (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",02:30  PM,05:15  PM,Macy,107,08/19/2024,12/12/2024,18,0,2.0,2.0
ARTB,1204,003,12660,"Digital Foundations
Studio",3.0,Lorraine Turi (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",02:30  PM,05:15  PM,Macy,107,08/19/2024,12/12/2024,18,1,2.0,2.0
ARTB,1206,001,10255,"First Year Seminar
Lecture",3.0,Jae Emerling (Primary),Main Campus or Dubois Campus,,,,,Friday,12:20  PM,02:50  PM,Denny,220,08/19/2024,12/12/2024,70,19,,
ARTC,2171,001,10086,"Ceramics Handbuilding
Studio",3.0,Lydia Thompson (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",02:30  PM,05:15  PM,Rowe,192,08/19/2024,12/12/2024,15,0,2.0,2.0
ARTC,2172,090,10087,"Ceramics Wheel 1
Studio",3.0,Emma Kaye (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",05:30  PM,08:15  PM,Rowe,192,08/19/2024,12/12/2024,12,3,1.0,1.0
ARTC,3171,001,10088,"Ceramic Sculpture
Studio",3.0,Thomas Schmidt (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",02:30  PM,05:15  PM,Rowe,183,08/19/2024,12/12/2024,7,1,1.0,1.0
ARTC,3172,090,10977,"Ceramics Wheel 2
Studio",3.0,Emma Kaye (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",05:30  PM,08:15  PM,Rowe,192,08/19/2024,12/12/2024,3,1,1.0,1.0
ARTC,3273,001,12830,"Intermediate Ceramics
Studio",3.0,Thomas Schmidt (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",02:30  PM,05:15  PM,Rowe,183,08/19/2024,12/12/2024,5,1,1.0,1.0
ARTC,3274,001,14037,"Advanced Ceramics
Studio",3.0,Thomas Schmidt (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",02:30  PM,05:15  PM,Rowe,183,08/19/2024,12/12/2024,3,0,1.0,1.0
ARTM,2105,090,12252,"4D
Studio",3.0,Clay Harper (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",05:30  PM,08:15  PM,Macy,107,08/19/2024,12/12/2024,18,2,2.0,2.0
ARTM,2105,091,13382,"4D
Studio",3.0,Clay Harper (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",05:30  PM,08:15  PM,Macy,107,08/19/2024,12/12/2024,18,1,2.0,2.0
ARTM,3101,001,12736,"Game Design and Graphics
Studio",3.0,Clay Harper (Primary),Main Campus or Dubois Campus,,"2 of 9 unreserved seats remain.
2 of 2 unreserved waitlist seats remain.
3 of 9 reserved seats remain.",,,"Monday,Wednesday,Friday",08:00  AM,09:55  AM,Rowe,285,08/19/2024,12/12/2024,18,5,2.0,2.0
